%Ind           Name	Pos[m]
   1     TCP.D6L2.B1  	24391.467898
   2     TCP.C6L2.B1  	24401.467898
   3     TCP.B6L2.B1  	24411.467898
   4     TCSG.A6L2.B1 	24611.440398
   5     TCSG.B5L2.B1	24907.577898
   6   	 TCSG.A5L2.B1	24927.577898
   7   	 TCSG.D4L2.B1	25034.227898
   8   	 TCSG.B4L2.B1	25383.857898
   9   	 TCSG.A4L2.B1	25403.857898
  10   	 TCSG.A4R2.B1	25423.857898
  11   	 TCSG.B5R2.B1	25880.137898
  12   	 TCSG.D5R2.B1	25960.137898
  13   	 TCSG.E5R2.B1	25980.137898
  14  	 TCSG.6R2.B1	26153.162898
  15  	 TCLA.A6R2.B1	26188.492898
  16  	 TCLA.B6R2.B1	26342.862898
  17 	 TCLA.C6R2.B1	26509.207898
  18	 TCLA.D6R2.B1	26519.207898 
  19  	 TCLA.A7R2.B1 	26607.347898  
